Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,target
0.433145,0.550932,0.386573,0.005371,0.507148,0.016916,0.520833,0.005958,0.003646,0.0023,0.046936,0.003679,0.064678,0.005335,0.002745,0.004357,0.061985,0.028075,0.003152,0.002288,0.023843,0.004438,0.007059,0.0028,0.003618,0.003183,0.004101,0.018545,0.096009,0.109731,0.048882,0.009815,0.006377,4
0.26486,0.331165,0.007111,0.236908,0.312562,0.044647,0.278862,0.057553,0.086695,0.044962,0.021524,0.028805,0.063324,0.020909,0.038832,0.024276,0.006076,0.008241,0.023228,0.071897,0.054331,0.039029,0.014659,0.013424,0.015322,0.008016,0.013854,0.014758,0.004915,0.00539,0.005938,0.010377,0.02094,2
0.283463,0.363798,0.25826,0.012265,0.334755,0.504525,0.451479,0.01598,0.065859,0.01494,0.034764,0.009437,0.081895,0.037565,0.005434,0.032281,0.011166,0.004462,0.005176,0.009624,0.086261,0.116093,0.033061,0.00992,0.005682,0.005489,0.003893,0.004943,0.015639,0.009143,0.004743,0.006329,0.005588,0
0.174722,0.233436,0.165648,0.220947,0.270646,0.326222,0.235003,0.09228,0.090036,0.053061,0.066589,0.065365,0.052636,0.007131,0.055474,0.212912,0.063558,0.021155,0.02276,0.007008,0.0449,0.011454,0.004999,0.006117,0.027973,0.089224,0.076652,0.033903,0.007177,0.005673,0.013909,0.007928,0.007749,3
0.640964,0.19189,0.006193,0.276887,0.367078,0.47074,0.436697,0.014153,0.015566,0.017963,0.047875,0.005187,0.010885,0.119732,0.015449,0.006109,0.058512,0.00838,0.003263,0.002537,0.008615,0.059321,0.118072,0.062326,0.021819,0.004336,0.006419,0.008742,0.006369,0.003747,0.013254,0.012659,0.006252,2
0.905473,0.283578,0.012077,0.390283,0.511102,0.779089,0.728037,0.037615,0.034206,0.020033,0.026445,0.03494,0.029241,0.054767,0.007036,0.016226,0.072979,0.085618,0.027855,0.006642,0.074208,0.0943,0.015138,0.008502,0.005377,0.00596,0.014828,0.040427,0.127111,0.219055,0.149063,0.111138,0.058549,4
0.629346,0.191977,0.370642,0.281081,0.544798,0.628259,0.537004,0.001731,0.002644,0.00421,0.018634,0.002193,0.002509,0.05526,0.005128,0.003423,0.030361,0.00389,0.0019,0.001567,0.002416,0.034922,0.055344,0.023136,0.007308,0.002174,0.002406,0.011782,0.003644,0.002872,0.00651,0.007668,0.003755,2
0.431874,0.54118,0.017213,0.380671,0.039596,0.499041,0.489665,0.024146,0.01721,0.013583,0.052024,0.010623,0.063181,0.011414,0.004524,0.010628,0.08914,0.021485,0.004048,0.004605,0.060997,0.007376,0.008383,0.003091,0.003645,0.004421,0.009301,0.039081,0.136571,0.099931,0.036566,0.018648,0.008925,4
0.852641,0.260599,0.006761,0.374565,0.490132,0.028242,0.494616,0.014924,0.012587,0.004688,0.027578,0.004899,0.037594,0.00572,0.003783,0.007997,0.055457,0.008199,0.00324,0.009977,0.042548,0.006554,0.003602,0.004041,0.004504,0.003611,0.006966,0.076903,0.079545,0.031444,0.012909,0.009618,0.006763,4
0.263545,0.340563,0.241934,0.320448,0.398615,0.481646,0.373221,0.005215,0.09594,0.051873,0.005084,0.012998,0.125617,0.005778,0.039986,0.00884,0.001852,0.002748,0.010888,0.102054,0.114541,0.047281,0.005,0.006762,0.009064,0.002114,0.004808,0.014115,0.002324,0.005074,0.0027,0.003299,0.00507,2
0.266894,0.343505,0.006826,0.242657,0.318288,0.044029,0.28702,0.022324,0.055671,0.026387,0.015642,0.012025,0.071934,0.014625,0.018399,0.022987,0.006635,0.004541,0.008295,0.044177,0.070734,0.038997,0.012687,0.008631,0.008187,0.005843,0.009047,0.018404,0.007803,0.003767,0.004279,0.00597,0.006868,2
0.753204,0.225569,0.445972,0.018633,0.001514,0.326222,0.439903,0.023477,0.01459,0.032853,0.015562,0.053777,0.014527,0.010104,0.050367,0.048332,0.007541,0.00872,0.072177,0.008765,0.00811,0.00741,0.006116,0.009841,0.07606,0.142589,0.050065,0.021332,0.008647,0.011318,0.010527,0.012058,0.021815,1
0.401946,0.515249,0.001431,0.363155,0.474326,0.600422,0.579998,0.025911,0.016729,0.010993,0.033607,0.009465,0.0429,0.005101,0.005081,0.032831,0.031275,0.006338,0.004599,0.033644,0.004761,0.016693,0.00352,0.004028,0.005616,0.008459,0.037459,0.132547,0.045039,0.022548,0.010131,0.009523,0.011852,1
0.289237,0.376246,0.265415,0.357609,0.005948,0.43959,0.407488,0.004884,0.022903,0.004048,0.035815,0.002796,0.02526,0.043076,0.003484,0.030956,0.00352,0.003271,0.002519,0.003192,0.0226,0.126105,0.039766,0.01382,0.004719,0.003657,0.006905,0.003202,0.002113,0.011493,0.004961,0.003652,0.007092,2
0.210739,0.272274,0.193683,0.259574,0.318662,0.389376,0.290521,0.158761,0.159545,0.040991,0.170861,0.181298,0.089678,0.052629,0.007268,0.030714,0.193922,0.280414,0.158866,0.04279,0.018869,0.01419,0.031167,0.040485,0.015659,0.00912,0.004037,0.019889,0.101099,0.197237,0.129428,0.048861,0.015425,3
0.358212,0.458046,0.320337,0.00246,0.027645,0.422609,0.415645,0.013749,0.01069,0.075649,0.015464,0.112857,0.010452,0.015614,0.094,0.06479,0.008991,0.011159,0.018593,0.009524,0.004254,0.009448,0.0138,0.042263,0.151155,0.135111,0.063608,0.027195,0.00906,0.007057,0.007175,0.010063,0.009015,1
0.549594,0.166846,0.242125,0.325152,0.011147,0.400922,0.361538,0.034414,0.117352,0.053157,0.025076,0.030601,0.211366,0.025826,0.09021,0.036601,0.00986,0.01293,0.023754,0.156562,0.197509,0.08593,0.020298,0.020832,0.024611,0.011964,0.012624,0.048459,0.010294,0.014607,0.011795,0.014015,0.025358,2
0.663894,0.201893,0.007442,0.293243,0.205264,0.38969,0.328731,0.025665,0.020118,0.024713,0.020601,0.015288,0.010994,0.035361,0.021683,0.010333,0.019372,0.008024,0.012067,0.003974,0.00684,0.014978,0.03577,0.061277,0.031703,0.013396,0.008109,0.009609,0.005019,0.007382,0.006026,0.010854,0.021335,2
0.042739,0.224578,0.220812,0.210748,0.195496,0.065992,0.185209,0.123168,0.117076,0.096903,0.063905,0.083466,0.046364,0.031762,0.044452,0.052225,0.017478,0.014483,0.022271,0.015421,0.010096,0.011852,0.014934,0.026341,0.050979,0.051476,0.037381,0.027414,0.015559,0.01257,0.010308,0.014099,0.016158,2
0.414301,0.520424,0.01799,0.002045,0.044449,0.369308,0.35566,0.041936,0.02461,0.025078,0.042357,0.015197,0.04449,0.010351,0.009985,0.034403,0.041202,0.010009,0.005984,0.016393,0.018968,0.009928,0.005214,0.003771,0.006377,0.008282,0.027714,0.101039,0.058205,0.029633,0.014083,0.011275,0.008376,4
0.546656,0.165239,0.242712,0.324566,0.000733,0.477931,0.432957,0.007503,0.050529,0.024534,0.004406,0.009168,0.087696,0.005895,0.054141,0.008972,0.00367,0.003162,0.008178,0.093856,0.080986,0.02839,0.004889,0.007794,0.012986,0.0033,0.004975,0.03669,0.005036,0.006449,0.004091,0.00555,0.008369,0
0.456163,0.579615,0.41809,0.379715,0.678131,0.20668,0.495791,0.003796,0.004386,0.003462,0.009113,0.018435,0.014845,0.060475,0.00681,0.008517,0.012187,0.134625,0.017562,0.006475,0.008122,0.092759,0.010128,0.007812,0.007772,0.005988,0.006902,0.012206,0.017925,0.099001,0.240823,0.133027,0.036166,4
0.209582,0.261767,0.011851,0.193015,0.25353,0.373399,0.32036,0.080699,0.082967,0.034859,0.079314,0.065637,0.059576,0.03017,0.013792,0.039067,0.086612,0.091467,0.05377,0.025535,0.016429,0.018005,0.017186,0.019919,0.013718,0.007546,0.013456,0.045397,0.056381,0.05938,0.043921,0.028793,0.020234,3
0.677179,0.203211,0.00647,0.297055,0.388847,0.492878,0.462201,0.014596,0.011103,0.021269,0.011103,0.007808,0.002746,0.024275,0.021929,0.003756,0.011662,0.01897,0.006574,0.001778,0.002211,0.00478,0.024707,0.094906,0.034078,0.007377,0.003923,0.005205,0.002981,0.007519,0.003295,0.007899,0.014511,2
0.394865,0.118458,0.172178,0.231847,0.006244,0.287705,0.243929,0.078203,0.074251,0.016662,0.078544,0.027288,0.052845,0.004809,0.013699,0.15709,0.074906,0.029489,0.013169,0.010403,0.012576,0.022075,0.005973,0.005978,0.005989,0.024685,0.0969,0.120385,0.039761,0.010837,0.00614,0.0119,0.012545,3
0.394497,0.495146,0.348168,0.468265,0.007203,0.574004,0.548367,0.020605,0.016018,0.018604,0.041096,0.049507,0.054076,0.005121,0.01571,0.142885,0.03698,0.0046,0.013968,0.026869,0.016945,0.009501,0.003128,0.006455,0.021727,0.070069,0.183507,0.159176,0.052135,0.014873,0.006541,0.014319,0.011643,1
0.413258,0.518762,0.011858,0.36378,0.366541,0.487896,0.443073,0.020425,0.0183,0.013133,0.061495,0.01864,0.080708,0.010548,0.007762,0.054243,0.076194,0.016857,0.007568,0.025213,0.029972,0.016091,0.006108,0.005591,0.009248,0.016771,0.062424,0.168932,0.112698,0.050495,0.027683,0.01759,0.013327,1
0.430734,0.539546,0.38105,0.226441,0.092736,0.282146,0.237528,0.010688,0.010388,0.008724,0.061354,0.017068,0.084445,0.017952,0.010718,0.023123,0.102752,0.029071,0.014044,0.013369,0.067053,0.022215,0.020761,0.01243,0.011772,0.014336,0.022312,0.069087,0.16019,0.107075,0.045337,0.032681,0.020629,4
0.327324,0.095596,0.148773,0.194468,0.237337,0.288157,0.200444,0.13005,0.059526,0.219376,0.068861,0.109923,0.028979,0.170854,0.244978,0.101773,0.044317,0.028979,0.061741,0.045776,0.02406,0.016638,0.078654,0.238113,0.191464,0.062864,0.02098,0.044419,0.015815,0.012305,0.017723,0.078353,0.137735,3
0.684326,0.212625,0.402937,0.006077,0.296656,0.600899,0.552677,0.017839,0.012835,0.038903,0.0151,0.028805,0.005614,0.020991,0.050885,0.011716,0.006988,0.0558,0.008775,0.002464,0.002617,0.009578,0.02009,0.147745,0.076089,0.028904,0.011297,0.004944,0.003503,0.018221,0.005131,0.006448,0.018875,2
0.681783,0.202377,0.011074,0.027943,0.29103,0.282309,0.296299,0.039632,0.042433,0.047056,0.033295,0.031282,0.022762,0.041835,0.042102,0.024181,0.015284,0.030071,0.014769,0.008631,0.013023,0.032603,0.042122,0.103915,0.059144,0.02647,0.018362,0.019187,0.010524,0.011332,0.009532,0.015897,0.0251,2
